,sigmax,sigmay,sigmaxy
49,-9709.327659491044,-3490.424473607656,-13713.222065163125
50,-10072.836542534695,-4944.460005782261,-14494.949706500669
51,-16576.3265270961,-2247.8702228560223,-13352.879646010118
52,42767.04674495342,-4290.876786728264,3335.5864176035507
53,17211.052211304122,1702.4945112204769,-2533.2005531065292
54,-4093.402027163229,924.1433169037452,-14541.176036522667
55,247.08193505313375,-3909.518675520053,-14689.129445584895
56,12349.075444033397,2003.2595850045354,-9207.26904474992
57,3140.940400370644,4869.899719083279,-11109.71751762514
58,818.1994826124671,-1625.0484852827194,-10085.09322937244
59,7047.432427937646,677.8488309805978,-12644.732307848997
60,-8096.935774297066,277.453978033921,-3353.244259505539
61,-6751.685501272341,-1428.907626857563,-3244.9108599454776
62,-1909.0102130371333,-218.23880479876095,-1597.764428289391
63,-3390.919361548269,-1171.3471691345246,-2328.2696821434943
64,-7407.068672330713,-3321.986564852281,-8258.933661172987
65,-8584.552466847641,-1673.0127921683777,-8117.4866677229365
66,-3413.1593278163605,-2323.509228723693,-5806.751197228971
67,-4067.559309429618,-3877.9069606599214,-5144.111883164134
68,-234.9469548580904,-2018.2926225335123,-1785.8249092123397
69,-1251.717108409136,-3173.9464104048006,-2437.5520916390738
70,-1582.1281975718384,-7407.017593388505,-3602.9000616423473
71,394.9380962609014,-7564.39921453846,-4148.805463447208
72,-4240.356067575183,-5632.296187758982,-8627.45373715694
73,-3479.2015258125657,-8532.934120056827,-9269.298754317484
74,1561.0717682582904,-2650.2948462699987,2170.637072364973
75,-71.29732945378169,3487.7241694323684,818.9420969678802
76,1154.69489885382,-4275.80232388788,-545.129594747039
77,2139.3793616307657,9174.427093676515,3785.3445693553635
78,-2573.7179652053824,-1213.9404126470004,-14046.456302448305
79,-6015.005045504582,342.19330124161957,-14612.002312371484
80,-1902.2500331946658,1471.931315395886,-11855.30430847972
81,2468.8200096984147,2181.4181563943616,-13379.471373647168
82,-4234.808781001981,-3552.711684891604,-4716.078116682983
83,-2668.2800377622243,-4690.13834823191,-4844.8087406528175
84,-7758.095386956257,-4433.533336380173,-10249.291498725934
85,-4314.919736532026,-2141.822492867902,-8528.825550544976
86,-19622.85682857674,-1942.298094416854,-10638.30784973105
87,-14465.2989682008,-2638.639286872314,-11976.672850107185
88,-23384.10947092373,1300.26028074833,-5363.5384605933905
89,-19456.642706891595,-1277.4416076762727,-4958.608997911079
90,-16821.266781426795,-3227.6312401788136,-10996.911832784237
91,-25679.608014086396,-3196.5002530292527,-13645.07490643724
92,-34219.517950510664,-1408.5918391484047,-5471.870018993341
93,-25538.067724686847,-2630.3390954310507,-7709.780909855701
94,-78827.69577807975,-5672.662572411191,-16406.08314125843
95,-31829.585780500656,-21222.34147346642,-25840.612470215587
96,-12795.481289004596,-11775.361297735546,-11043.480237251923
97,-30047.53204369915,-14094.126526260397,-16914.725032217742
98,-50205.24092782054,1482.9511401536129,-12216.371709000769
99,-31473.361721268215,-4114.162594576393,-8275.942067454074
100,-16424.07411992461,-12682.50950546555,-16367.828705271282
101,-31614.902010667764,-4680.323752174594,-14211.236064035613
102,47335.72539025841,3767.348285291433,-1395.933778931771
103,31265.962712913235,4205.228149922552,-6085.498622745988
104,31274.896614380697,4240.963755792398,-10131.8078772187
105,15472.65967304251,1686.473366153024,-4624.789677925415
106,-13065.945651214293,-33011.24509232628,-33237.98816422028
107,-11330.614852402796,-99910.41918864111,-13688.835174969288
108,2434.774162550252,10356.006297354461,-5251.320567883646
109,15160.481955411882,-2809.826325359624,-5119.283118927897
110,131039.90958735118,21307.01757380559,-27240.974027652846
111,28680.325338304992,51269.54720621282,-48960.09041264452
112,-5097.281076503479,496.4056534891081,-12309.423274376673
113,-1926.9321196577166,1364.211532703336,-11097.976823558722
114,7906.798243712273,4115.312094079104,-7343.089291753473
115,21889.77367981142,2351.335401174963,-3677.389668794972
116,41847.88164106954,-1158.4157212968912,-1273.8056037763486
117,22028.664207057376,2906.8975101587903,3452.3656569905975
118,13208.441259808013,5440.722848102996,-3905.626028654362
119,28214.375628354217,4871.902354980952,-8236.760191281635
120,42155.587994347974,-1081.4891329772836,966.0992504977881
121,26645.0712256434,-1405.3152558623196,-3784.2036169790954
122,-1953.6847973024614,-4459.7103586089515,-17418.324131759207
123,-4030.920256406735,-11863.51483429956,-14574.012151320741
124,59542.458241620014,-3357.603598096355,-10817.967392394856
125,35312.27196738625,5216.805463540806,-6121.234228615885
126,35321.205868853714,5252.541069410652,-10167.543483088588
127,16299.722954336377,12688.272382369854,-13643.268963556005
128,79436.76169308263,1615.972264769298,-9076.336059067855
129,33242.32087124652,-3142.379605220576,-24362.173866615638
130,38895.72689251295,19471.244479845132,-18054.586856342157
131,12338.950607081653,11698.079295556172,-7755.604415426083
132,2862.4164448472907,9355.186364480647,-7614.037394214143
133,11712.417516466105,9191.946933093976,-5008.008902144506
134,-211.20700700907764,-66618.4819501215,-7787.16551758797
135,5428.945195021584,-32872.178998943506,-19603.1020635505
136,4839.432000043496,-46415.92592191119,-12415.390510622206
137,-1490.968734184221,-26751.31851368078,-8415.128508421407
138,-5877.196523505898,-27847.8754610112,-14933.13853359481
139,-6541.910298505118,-12491.262344824156,-19340.70833595115
140,-6057.542841787439,-10553.792517953445,-14293.516460687422
141,-3717.0737859139654,-35158.68374417739,-20972.843111792583
142,15222.447020032248,-6251.926253867021,-3146.9509575563325
143,-303.85143950385395,-3197.0708786538553,-6888.383882853205
144,7802.974619573559,-8106.79435398161,-17452.245185489766
145,-2521.165354400314,-30375.050018122787,-7674.526494055233
146,40.551137254027594,-1819.4605716223293,-15698.211296175044
147,-3305.182836828661,-9865.70251671375,-12280.618520422824
148,4738.573865720522,2748.8566203998885,-10690.989810958308
149,-909.5179274176014,5433.868301663797,-11579.913844520597
150,16754.26063415333,6812.877210596298,-12236.967576516714
151,5410.694256392751,5437.338183088806,-8421.23595493628
152,14702.6483965423,6299.974151193541,-6837.834827473111
153,4852.286869584015,7476.914271373453,-9439.861249506646
154,4247.6507236031375,5058.369687449943,-7608.373471389265
155,-185.0230735617247,5614.992015127766,-6445.55803054313
156,-641.6366990220909,-119.55835608842241,-2523.155419103432
157,-1260.841253038773,939.6167906618964,-2655.1465969235155
158,-3696.807826490297,330.62514729901545,-8227.616746264059
159,-1222.495569802583,1465.102030164332,-7144.980004398126
160,282.2826831455661,3576.1191725822055,-2876.735431702753
161,1624.2497123887133,4402.519434646337,-2226.225244310565
