,epsilonx,epsilony,epsilonxy
92,-1.6933684995361781e-07,3.573143824239631e-08,-6.839837523741676e-08
93,-1.244024147541454e-07,1.8770889178703303e-08,-9.637226137319626e-08
94,-3.8704765067488474e-07,7.017130686054373e-08,-2.050760392657304e-07
95,-1.3262000206067026e-07,-6.632472514170627e-08,-3.2300765587769485e-07
96,-4.925820482285355e-08,-4.288245487742198e-08,-1.3804350296564904e-07
97,-1.3262000206067026e-07,-3.2911217576678046e-08,-2.1143406290272176e-07
98,-2.528798935642947e-07,7.017130686054373e-08,-1.5270464636250962e-07
99,-1.5222410536312057e-07,1.8770889178703303e-08,-1.0344927584317594e-07
100,-6.626723371779112e-08,-4.288245487742198e-08,-2.0459785881589102e-07
101,-1.5222410536312057e-07,1.6117008752461732e-08,-1.7764045080044517e-07
102,2.3196944159467776e-07,-4.033291531136585e-08,-1.7449172236647137e-08
103,1.51073278377163e-07,-1.8056312641528785e-08,-7.606873278432485e-08
104,1.51073278377163e-07,-1.7888801989013882e-08,-1.2664759846523375e-07
105,7.525520665752126e-08,-1.0908457760538017e-08,-5.7809870974067684e-08
106,-2.406567189066361e-08,-1.4872379339761354e-07,-4.1547485205275355e-07
107,6.82349497237874e-08,-4.85388827377702e-07,-1.711104396871161e-07
108,-7.711370589418147e-10,4.8736563783584486e-08,-6.564150709854557e-08
109,7.931469268375894e-08,-3.299973407106297e-08,-6.399103898659871e-08
110,6.285657759694989e-07,-5.726479911516103e-08,-3.4051217534566057e-07
111,7.931469268375894e-08,2.2049732935818283e-07,-6.120011301580565e-07
112,-2.610691244937878e-08,8.853629613074889e-09,-1.538677909297084e-07
113,-1.1339925014167751e-08,9.229722813088825e-09,-1.3872471029448403e-07
114,3.4389851100962484e-08,1.069306266575518e-08,-9.17886161469184e-08
115,1.0650969914758838e-07,-1.560554009388946e-08,-4.5967370859937146e-08
116,2.1068742785696883e-07,-5.810193065782139e-08,-1.5922570047204357e-08
117,1.0650969914758838e-07,-1.3001342708027768e-08,4.315457071238247e-08
118,5.9241302738911314e-08,1.0693062665754968e-08,-4.8820325358179526e-08
119,1.349820001980449e-07,-1.0908457760538017e-08,-1.0295950239102044e-07
120,2.1212980138796147e-07,-5.810193065782139e-08,1.2076240631222351e-08
121,1.349820001980449e-07,-4.033291531136585e-08,-4.730254521223869e-08
122,-4.193786038251117e-09,-1.9856445796416682e-08,-2.177290516469901e-07
123,-5.325207739159225e-09,-5.4278923850989376e-08,-1.8217515189150926e-07
124,3.019092957057205e-07,-9.121609079250679e-08,-1.352245924049357e-07
125,1.7004035300750526e-07,-1.8056312641528785e-08,-7.651542785769856e-08
126,1.7004035300750526e-07,-1.7888801989013882e-08,-1.2709429353860736e-07
127,6.563827429371956e-08,4.306670821892879e-08,-1.7054086204445006e-07
128,3.951638431344515e-07,-9.121609079250679e-08,-1.1345420073834818e-07
129,1.701395788627583e-07,-5.726479911516103e-08,-3.045271733326955e-07
130,1.701395788627583e-07,4.8736563783584486e-08,-2.2568233570427697e-07
131,4.7072153915963045e-08,4.306670821892879e-08,-9.694505519282603e-08
132,2.6180992686356447e-09,4.319791126634412e-08,-9.517546742767679e-08
133,4.7072153915963045e-08,3.131921276988724e-08,-6.260011127680631e-08
134,8.221706740260647e-08,-3.3282840099184606e-07,-9.733956896984962e-08
135,6.82349497237873e-08,-1.7114707648849452e-07,-2.4503877579438125e-07
136,8.221706740260647e-08,-2.3812891960961033e-07,-1.551923813827776e-07
137,2.5984304471179872e-08,-1.3189288165067363e-07,-1.0518910635526758e-07
138,5.423861708734511e-09,-1.3189288165067363e-07,-1.8666423166993514e-07
139,-1.709547356149539e-08,-5.4278923850989376e-08,-2.4175885419938937e-07
140,-1.709547356149539e-08,-4.5197034037532925e-08,-1.7866895575859277e-07
141,2.5362985750651912e-08,-1.7114707648849452e-07,-2.6216053889740727e-07
142,8.392714291749502e-08,-5.0287690044375415e-08,-3.9336886969454156e-08
143,2.4770814007980497e-09,-1.560554009388946e-08,-8.610479853566506e-08
144,4.91483660403448e-08,-5.028769004437499e-08,-2.1815306481862206e-07
145,2.5362985750651912e-08,-1.4872379339761354e-07,-9.593158117569041e-08
146,2.4770814007980497e-09,-9.147991779679181e-09,-1.9622764120218806e-07
147,-4.193786038251117e-09,-4.5197034037532925e-08,-1.535077315052853e-07
148,2.025679855310275e-08,7.821065769848789e-09,-1.3363737263697885e-07
149,-1.1339925014167751e-08,2.8306238917590982e-08,-1.4474892305650745e-07
150,7.525520665752126e-08,1.3121560260289832e-08,-1.5296209470645892e-07
151,2.025679855310275e-08,2.0423323094953086e-08,-1.052654494367035e-07
152,6.563827429371956e-08,1.3121560260289832e-08,-8.547293534341388e-08
153,1.491529150870326e-08,3.131921276988724e-08,-1.1799826561883309e-07
154,1.491529150870326e-08,1.9982285032745792e-08,-9.510466839236582e-08
155,-7.94385538671833e-09,2.8306238917590982e-08,-8.056947538178913e-08
156,-3.058735549999926e-09,2.042540933355014e-10,-3.15394427387929e-08
157,-7.478727253521235e-09,6.274135519607948e-09,-3.3189332461543945e-08
158,-1.8897320566575253e-08,6.274135519607948e-09,-1.0284520932830074e-07
159,-7.94385538671833e-09,8.853629613074889e-09,-8.931225005497657e-08
160,-3.058735549999926e-09,1.7527742508979068e-08,-3.595919289628441e-08
161,2.6180992686356447e-09,1.9982285032745792e-08,-2.7827815553882064e-08
